country,country_code,Active Personnel,Attack Helicopters,Defense Budget,Tanks,Total Population,HexColor
Afghanistan,AFG,170000,0,99050000,0,37466414,#000000
Albania,ALB,170000,0,192400000,0,3088385,#DC143C
Algeria,ALG,130000,45,9700000000,2196,43576691,#007A33
Angola,ANG,107000,15,1059270000,320,33642646,#FF0000
Argentina,ARG,83000,0,3064800000,349,45864941,#75AADB
Armenia,ARM,45000,20,632500000,288,3011609,#D90012
Australia,AUS,59000,22,44618000000,59,25809973,#00247D
Austria,AST,23000,0,3432000000,56,8884864,#ED2939
Azerbaijan,AZR,65000,17,1700000000,510,10282283,#00B140
Bahrain,BAH,10000,22,1538800000,180,1526929,#D71A28
Bangladesh,BNG,165000,0,3890400000,320,164098818,#006A4E
Belarus,BLR,45000,21,723120000,601,9441842,#FF4C00
Belgium,BEL,26000,0,5513710000,0,11778842,#000000
Bhutan,BUT,8000,0,28908000,0,857423,#FFCC00
Bolivia,BOL,50000,0,476970000,36,11758869,#007A33
Bosnia and Herzegovina,BOS,9000,0,178110000,320,3824782,#0033A0
Botswana,BOT,9000,0,473400000,45,2350667,#00A2E8
Brazil,BRA,360000,12,18785000000,439,213445417,#009739
Bulgaria,BUL,30000,2,1105760000,410,6919180,#D62612
Burkina Faso,BKF,12000,2,434250000,0,21382659,#EF3340
Cambodia,CMB,100000,0,632250000,539,17304363,#032EA1
Cameroon,CAM,40000,0,398000000,0,28524175,#007A33
Canada,CAN,70000,0,23550574382,82,37943231,#FF0000
Central African Republic,CAR,10000,0,41454000,3,5357984,#003082
Chad,CHD,30000,3,292610000,90,17414108,#002664
Chile,CHI,80000,0,5058000000,270,18307925,#0033A0
China,CHN,2000000,281,2.50E+11,5250,1397897720,#DE2910
Colombia,COL,295000,0,8139000000,0,50355650,#FCD116
Croatia,CRO,15000,0,2100000000,72,4208973,#001489
Cuba,CUB,50000,4,2989900000,1230,11032343,#002A8F
Czechia,CZC,26000,15,3262900000,116,10702596,#D7141A
Democratic Republic of the Congo,DRC,100000,8,299220000,212,105044646,#007FFF
Denmark,DEN,16000,0,3993096624,44,5894687,#C60C30
Dominican Republic,DOM,60000,0,630720000,10,10597348,#002D62
Ecuador,ECU,40000,0,2272630000,252,17093159,#FFD100
Egypt,EGY,450000,91,4357200000,4394,106437241,#CE1126
El Salvador,ESL,21000,0,295680000,0,6528135,#003893
Eritrea,ERI,175000,6,105315000,300,6147398,#418FDE
Estonia,EST,6500,0,713690000,0,1220042,#0072CE
Ethiopia,ETH,150000,7,538000000,340,110871031,#078930
Finland,FIN,23000,0,2669733900,200,5587442,#003580
France,FRA,205000,69,40900000000,406,68084217,#0055A4
Gabon,GAB,6500,0,280620000,0,2284912,#009739
Georgia,GEO,25000,9,286020000,143,4933674,#FFFFFF
Germany,GER,184000,55,50300000000,266,79903481,#000000
Ghana,GHA,14000,0,289400000,0,32372889,#FCD116
Greece,GRE,130000,29,6600000000,1243,10569703,#0D5EAF
Guatemala,GUA,21500,0,388000000,0,17422821,#4997D0
Honduras,HON,16000,0,405110000,19,9346277,#0073CF
Hungary,HUN,23000,8,3263999300,176,9728337,#C8102E
India,IND,1450000,37,49600000000,4614,1339330514,#FF9933
Indonesia,INO,400000,15,9300000000,314,275122131,#CE1126
Iran,IRN,575000,12,5000000000,2831,85888910,#DA1A32
Iraq,IRQ,200000,40,6855200000,826,39650145,#CE1126
Ireland,IRE,8700,0,1100000000,0,5224884,#009B48
Israel,ISR,173000,48,17800000000,1900,8787045,#0038B8
Italy,ITA,170000,59,29198401050,200,62390364,#008C45
Ivory Coast,IVC,25000,1,651000000,10,28088455,#FF8200
Japan,JPN,240000,119,47482740000,1004,124687293,#BC002D
Jordan,JOR,90000,44,2053900000,1401,10909567,#007A33
Kazakhstan,KAZ,45000,25,3900000000,310,19245793,#00AFCA
Kenya,KEN,24000,2,1186080000,109,54685051,#FF0000
Kosovo,KOS,3500,0,112479000,0,1935259,#FFCC00
Kuwait,KUW,17000,16,8172000000,367,3032065,#007A33
Kyrgyzstan,KYR,12000,2,116040000,215,6018789,#CE1126
Laos,LAO,25000,0,38280000,130,7574356,#00247D
Latvia,LAT,6500,0,853758013,0,1862687,#961C37
Lebanon,LEB,80000,0,1001400000,361,5261372,#FFFFFF
Liberia,LIB,2000,0,11800000,0,5214030,#002868
Libya,LBY,30000,7,3475000000,100,7017224,#239E46
Lithuania,LIT,16000,0,1145745000,0,2711566,#FDB913
Madagascar,MAD,13000,0,109760000,12,27534354,#FF0000
Malaysia,MLY,115000,0,3792819200,48,33519406,#010066
Mali,MAL,18000,7,591260000,80,20137527,#14B53A
Mauritania,MAU,16000,0,194475000,30,4079284,#007A33
Mexico,MEX,250000,0,6456000000,0,130207371,#006847
Moldova,MOL,6000,0,47640000,10,3323875,#FFD100
Mongolia,MON,9000,0,91980000,470,3198913,#C8102E
Montenegro,MTN,2000,0,74074500,0,607414,#CE1126
Morocco,MOR,200000,0,5970000000,1,36910560,#C8102E
Mozambique,MOZ,30000,0,129690000,94,33332405,#00843D
Myanmar,MYN,505000,16,2043800000,580,54045420,#FED100
Namibia,NAM,9000,0,394200000,38,2640835,#003893
Nepal,NEP,95000,0,387576000,20,29385340,#DC143C
Netherlands,NTH,35000,8,14543240000,18,17525931,#21468B
New Zealand,NZL,9800,0,2865900000,0,5258648,#00247D
Nicaragua,NIC,12000,0,124740000,0,7212047,#003893
Niger,NIG,10000,0,130200000,80,25759787,#FFFFFF
Nigeria,NGR,143000,0,564690000,255,223804632,#008751
North Korea,PRK,1280000,204,500000000,5985,26370557,#024FA2
North Macedonia,NTH,6500,0,150150000,31,2061308,#D72612
Norway,NOR,23000,0,7425900000,52,5453748,#BA0C2F
